col1,col2,col3,col4,col5,class
7.0,6.0,8.0,6.0,5.0,1
-2.7294645089547998,0.3959068189445833,-1.2443281248279625,1.0580993676004262,0.7178995388344411,0
-0.14459915272871549,-0.6987635182223424,5.386546006927526,0.45387915080606706,0.4619726432586512,0
8.0,8.0,4.0,4.0,6.0,1
3.0,4.0,5.0,9.0,5.0,1
-2.3731836017050485,-3.0322713729434065,-1.4920643590547042,-1.2661261501157448,-0.5646748141457902,0
5.0,5.0,6.0,6.0,6.0,1
7.0,3.0,5.0,4.0,7.0,1
3.0,5.0,6.0,3.0,3.0,1
4.0,9.0,7.0,6.0,6.0,1
0.5287424592608163,0.07793517572477235,-2.217000340223352,0.5109168848921499,-0.4215194675278024,0
3.0,7.0,5.0,8.0,6.0,1
-1.7004801221858594,1.3954900091678866,0.6056991092357596,-0.46790371965911903,-2.4866286996184606,0
3.0,3.0,5.0,7.0,7.0,1
0.3566054154249527,1.826966541853665,-0.4744675579442939,-0.09092570567979619,1.4604855138557902,0
4.0,2.0,4.0,8.0,5.0,1
-2.1761551869465348,0.22731661854767962,1.3882342682544453,0.42466884515019016,-2.3133816835145677,0
4.0,6.0,6.0,4.0,4.0,1
6.0,2.0,5.0,6.0,5.0,1
-0.33745873751027805,-0.6072665379699643,-4.127563160878671,-0.7178013500148153,-1.3754073348072315,0
3.4072944216358936,-0.44959244877421883,0.10116427302192034,0.8651200624581077,3.605865338591802,0
2.4411583960580634,0.5105512427738017,-0.28567245420312964,-0.2606751866335292,-2.0945914360989595,0
2.7985458983070957,-0.02593766244749534,0.2406651256718317,-5.855384115665775,-3.010910149595979,0
5.0,5.0,2.0,6.0,7.0,1
5.0,2.0,5.0,3.0,5.0,1
2.2279888525823606,0.11303576711615122,1.6337421427384773,-0.4734001100056719,-0.6088605622220447,0
-0.46144091278141997,-0.044604516303418426,-0.9009416723941291,3.9995654102859985,2.800092413775118,0
4.0,2.0,2.0,6.0,5.0,1
-1.083301949470435,-0.18445767752893918,-0.20382390023239907,-1.0346514925609263,-0.8969526173372104,0
3.0,5.0,4.0,5.0,5.0,1
-1.0451829332673472,2.169068517948319,1.869621630580836,-4.235802117948802,1.0346525953913766,0
4.0,3.0,7.0,5.0,5.0,1
5.0,7.0,4.0,6.0,6.0,1
0.09818265027630427,-0.9858744366198016,4.354470387349068,-0.12884339521232105,-1.308827037481519,0
3.0,3.0,8.0,4.0,1.0,1
-1.3829241568223272,-1.4399170539756643,1.0358468109466434,0.05435324605112859,0.11841268333971737,0
6.0,7.0,5.0,5.0,5.0,1
2.17957097274022,-1.0417892054845401,-0.7930016146643168,-0.6136843065538934,1.3123737631873518,0
2.895202407712194,-1.0449864336494967,1.2418731391478879,1.59147897895212,0.36431113993928005,0
6.0,5.0,6.0,4.0,9.0,1
-3.252174875801579,-0.7543285416823725,0.4846174133067947,2.2942022692943587,0.1206757651488316,0
